BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
22703,7,20.82,1.061,1.009,6.91,70.37,7.11,27.44,60,1.047,70,1.25,Specific Gravity,All Grain,1.25,19.44,Dextrose,N/A
24478,10,4.5,1.044,1.011,4.34,28.8,8.66,4,60,1.05,80,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A
2308,129,19.87,1.065,1.016,6.44,35.88,36.35,23.47,60,1.055,68,1.3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
3472,39,40,1.051,1.015,4.73,33.9,10.21,47.92,60,1.042,72,2.6,Specific Gravity,All Grain,0.35,18,N/A,N/A
7701,7,18.93,1.063,1.012,6.7,95.5,7.63,11.36,60,1.105,35,N/A,Specific Gravity,extract,0.35,N/A,N/A,N/A
60454,42,3.79,1.059,1.013,5.96,32.32,50,5.68,60,1.039,68,1.5,Specific Gravity,All Grain,0.35,21.11,N/A,N/A
19715,10,25,1.045,1.01,4.63,32.22,6.32,28.5,90,1.039,75,3,Specific Gravity,All Grain,N/A,20,sugar,6 gr/liter
7872,169,32.5,1.078,1.018,7.91,10.78,6.31,43,90,1.059,60,N/A,Specific Gravity,BIAB,0.75,18,N/A,N/A
59097,38,20.82,1.05,1.015,4.6,34.35,12.28,28.39,60,1.037,72,1.5,Specific Gravity,All Grain,1.75,15.56,N/A,N/A
49165,23,20.82,1.085,1.019,8.63,28.55,5.38,28.39,90,1.062,75,1.5,Specific Gravity,All Grain,0.35,23.89,N/A,N/A
60556,66,15.14,1.045,1.012,4.32,33.54,24.3,22.71,60,1.03,60,N/A,Specific Gravity,BIAB,0.5,18.33,N/A,N/A
12251,10,17.5,1.055,1.009,5.95,43.37,7.07,17.5,60,1.044,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
41564,10,62.46,1.06,1.014,5.98,55.18,5.29,70.03,60,1.053,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
5316,7,18.93,1.063,1.015,6.33,73.59,5.78,11.36,60,1.105,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A
38113,7,20.82,1.064,1.009,7.17,65.15,6.42,28.39,60,1.047,66,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
13569,92,20,1.06,1.016,5.72,23.37,13.83,27,60,1.044,60,2.75,Specific Gravity,All Grain,0.5,20,Sugar,91 grams
9481,12,18.93,1.058,1.014,5.65,0,38.72,9.46,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A
5244,167,25,1.047,1.007,5.25,22.37,13.21,20,60,1.059,65,3.33,Specific Gravity,All Grain,N/A,10,N/A,N/A
8821,129,20.82,1.063,1.016,6.09,32.78,27.55,28.39,60,1.046,70,N/A,Specific Gravity,BIAB,0.75,17.78,N/A,N/A
16662,132,18.93,1.081,1.019,8.16,113.75,36.11,17.03,60,1.09,75,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
32477,136,8,1.054,1.018,4.81,21.64,20.97,10,60,1.043,70,4,Specific Gravity,All Grain,1,22,N/A,N/A
59203,58,20,1.061,1.015,6.1,30.73,41.21,25,60,1.049,60,N/A,Specific Gravity,All Grain,N/A,18,N/A,N/A
7905,155,20.82,1.058,1.014,5.78,0,14,26.5,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
50827,148,21,1.047,1.012,4.64,52.45,44.56,28.5,60,1.035,50,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
41024,155,20.82,1.056,1.015,5.42,27.03,15.12,11.36,60,1.103,35,N/A,Specific Gravity,Partial Mash,0.35,17.78,N/A,N/A
16297,129,20.82,1.066,1.021,6.02,23.45,29.92,28.39,60,1.049,75,N/A,Specific Gravity,All Grain,N/A,21.11,N/A,N/A
71154,90,19,1.067,1.02,6.18,41.47,3.96,23,90,1.056,75,3,Specific Gravity,All Grain,1.75,8,N/A,N/A
69829,175,20.82,1.057,1.013,5.76,26.83,3.89,28.39,60,1.042,70,1.5,Specific Gravity,All Grain,N/A,18.33,N/A,N/A
38469,135,13.25,1.05,1.009,5.42,26.45,25.5,17.03,60,1.038,75,N/A,Specific Gravity,BIAB,2,8.33,N/A,N/A
10199,58,18.93,1.054,1.015,5.09,62.41,18.59,11.36,60,1.09,35,N/A,Specific Gravity,Partial Mash,0.35,25.56,N/A,N/A
6643,15,20.82,1.046,1.011,4.52,29.56,4.74,24.98,60,1.038,65,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
66521,7,19,1.051,1.014,4.91,97.48,4.53,22,60,1.044,66,3,Specific Gravity,All Grain,0.75,20,N/A,N/A
59973,58,20,1.048,1.011,4.81,34.52,26.97,28.5,75,1.034,70,N/A,Specific Gravity,BIAB,0.35,23,N/A,N/A
59163,175,60.57,1.054,1.013,5.37,6.59,4.94,68.14,60,1.048,70,1.5,Specific Gravity,All Grain,0.75,N/A,N/A,N/A
32677,100,18.93,1.055,1.014,5.4,37.26,4.03,22.71,60,1.046,75,1.25,Specific Gravity,All Grain,1,23.89,N/A,N/A
15191,7,41.64,1.062,1.012,6.52,58.46,9.16,49.21,60,1.052,83,1.5,Specific Gravity,All Grain,0.75,19.44,N/A,N/A
62835,34,41.64,1.058,1.016,5.42,43.12,17.78,48.26,60,1.05,73,1.5,Specific Gravity,All Grain,0.75,20,N/A,N/A
36945,132,18,1.09,1.021,9.09,114.9,50,19.5,60,1.083,50,2.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
